fotmob_id,nom_fotmob,volume_course,score_volume,pressing,score_pressing,recuperation,score_recuperation,distance_90_reelle,sprints_90_reels,source,relentless,styles_ea
460632,Joshua Kimmich,Haut,0.991,Bas,0.326,Moyen,0.461,12291,6.9,mesure FotMob,oui,Anticipate|Finesse Shot|Long Ball Pass|Press Proven|Relentless|Whipped Pass
194165,Harry Kane,Moyen,0.656,Bas,0.231,Bas,0.099,10860,6.1,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Long Ball Pass|Low Driven Shot|Precision Header
743533,Federico Valverde,Moyen,0.462,Haut,0.855,Moyen,0.446,10473,13.6,mesure FotMob,oui,Aerial Fortress|Intercept|Long Ball Pass|Power Shot|Rapid|Relentless|Slide Tackle
1152455,Florian Wirtz,Haut,0.931,Haut,0.82,Moyen,0.452,11794,13.3,mesure FotMob,,Chip Shot|Finesse Shot|First Touch|Incisive Pass|Inventive|Low Driven Shot|Technical
170323,Thibaut Courtois,Bas,0.055,Bas,0.019,Moyen,0.347,5318,0.0,mesure FotMob,,Cross Claimer|Far Throw|Rush Out
93447,Robert Lewandowski,Bas,0.201,Moyen,0.543,Bas,0.016,9908,10.3,mesure FotMob,,Chip Shot|Finesse Shot|First Touch|Incisive Pass|Low Driven Shot|Power Shot|Precision Header
690230,Lautaro Martínez,Moyen,0.44,Moyen,0.386,Bas,0.136,10423,8.2,mesure FotMob,oui,Enforcer|Gamechanger|Incisive Pass|Power Shot|Precision Header|Relentless|Technical
690107,Alexander Isak,Haut,0.735,Haut,0.968,Bas,0.007,11037,18.5,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Low Driven Shot|Power Shot|Rapid
1156141,Jamal Musiala,Haut,0.847,Moyen,0.606,Moyen,0.636,11451,10.7,mesure FotMob,,Gamechanger|Incisive Pass|Inventive|Low Driven Shot|Precision Header|Technical|Trickster
795179,Gabriel,Bas,0.203,Bas,0.191,Bas,0.158,9919,6.0,mesure FotMob,,Bruiser|Precision Header
961995,Bukayo Saka,Moyen,0.467,Haut,0.686,Haut,0.663,10477,12.0,mesure FotMob,,Finesse Shot|Technical|Whipped Pass
177126,Jan Oblak,Bas,0.038,Bas,0.017,Moyen,0.434,5163,0.0,mesure FotMob,,Cross Claimer|Far Reach|Far Throw
1096353,Cole Palmer,Moyen,0.61,Haut,0.765,Bas,0.251,10775,13.0,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Incisive Pass|Inventive|Low Driven Shot|Technical
900433,Khvicha Kvaratskhelia,Moyen,0.368,Haut,0.798,Moyen,0.451,10265,13.2,mesure FotMob,,Finesse Shot|Gamechanger|Incisive Pass|Inventive|Technical|Trickster
805451,Alessandro Bastoni,Moyen,0.46,Bas,0.279,Moyen,0.624,10470,6.8,mesure FotMob,oui,Block|Long Ball Pass|Pinged Pass|Relentless|Whipped Pass
448540,Serhou Guirassy,Moyen,0.361,Moyen,0.522,Bas,0.035,10242,9.6,mesure FotMob,,Acrobatic|Chip Shot|Finesse Shot|First Touch|Low Driven Shot|Precision Header
169200,Kevin De Bruyne,Moyen,0.473,Moyen,0.443,Bas,0.125,,,estime EA,,Dead Ball|Incisive Pass|Inventive|Pinged Pass|Whipped Pass
638622,Frenkie de Jong,Haut,0.837,Bas,0.33,Haut,0.819,11409,7.4,mesure FotMob,,Incisive Pass|Inventive|Press Proven|Tiki Taka
1137668,Moisés Caicedo,Moyen,0.421,Moyen,0.497,Haut,0.958,10370,8.9,mesure FotMob,oui,Anticipate|Intercept|Pinged Pass|Press Proven|Relentless|Slide Tackle|Tiki Taka
654096,Declan Rice,Haut,0.711,Moyen,0.491,Haut,0.675,10994,9.1,mesure FotMob,oui,Aerial Fortress|Block|Dead Ball|Intercept|Press Proven|Relentless|Whipped Pass
267365,Marquinhos,Bas,0.222,Bas,0.265,Bas,0.215,9951,6.6,mesure FotMob,,Aerial Fortress|Anticipate|Intercept|Jockey
41618,Yann Sommer,Bas,0.082,Bas,0.016,Bas,0.135,5900,0.0,mesure FotMob,,Far Reach
705450,Jules Koundé,Moyen,0.625,Haut,0.844,Moyen,0.65,10795,13.9,mesure FotMob,oui,Aerial Fortress|Jockey|Long Ball Pass|Quick Step|Relentless|Slide Tackle
422685,Bruno Fernandes,Haut,1,Haut,0.835,Moyen,0.519,,,estime EA,oui,Dead Ball|Gamechanger|Incisive Pass|Inventive|Long Ball Pass|Relentless|Tiki Taka
955406,William Saliba,Bas,0.175,Moyen,0.358,Bas,0.281,9833,7.9,mesure FotMob,,Anticipate|Jockey|Long Ball Pass
974753,Julián Álvarez,Haut,0.713,Moyen,0.647,Bas,0.07,10998,11.3,mesure FotMob,,Finesse Shot|Press Proven
469700,Jonathan Tah,Moyen,0.337,Bas,0.308,Bas,0.234,10207,7.3,mesure FotMob,,Aerial Fortress|Anticipate|Precision Header
831489,Alexis Mac Allister,Haut,0.833,Moyen,0.551,Moyen,0.543,11399,10.4,mesure FotMob,,Block|Dead Ball|Gamechanger|Pinged Pass|Power Shot|Press Proven
466439,Mike Maignan,Bas,-0.018,Bas,0.247,Bas,0.288,,,estime EA,,Deflector|Far Throw|Footwork|Long Ball Pass
534670,Martin Ødegaard,Haut,0.902,Moyen,0.367,Bas,0.266,11652,7.9,mesure FotMob,,First Touch|Incisive Pass|Inventive|Pinged Pass|Technical
562727,David Raya,Bas,0.081,Bas,0.069,Moyen,0.458,5856,0.2,mesure FotMob,,Cross Claimer|Footwork
664500,Viktor Gyökeres,Moyen,0.572,Haut,0.798,Bas,0.011,10679,13.5,mesure FotMob,,Acrobatic|Enforcer|Finesse Shot|Low Driven Shot|Power Shot|Press Proven|Quick Step
541820,Nicolò Barella,Haut,0.969,Moyen,0.468,Haut,0.783,12057,8.5,mesure FotMob,oui,Incisive Pass|Intercept|Jockey|Long Ball Pass|Pinged Pass|Press Proven|Relentless
687681,Victor Osimhen,Bas,0.084,Haut,0.716,Bas,0.088,8595,12.4,mesure FotMob,,Acrobatic|Chip Shot|Gamechanger|Precision Header|Rapid
1158945,Nuno Mendes,Bas,0.119,Haut,0.727,Haut,0.925,9485,12.0,mesure FotMob,,Anticipate|Jockey|Pinged Pass|Quick Step|Rapid|Whipped Pass
276738,Antonio Rüdiger,Bas,0.103,Bas,0.151,Bas,0.079,9315,5.4,mesure FotMob,,Aerial Fortress|Block|Bruiser|Jockey|Long Ball Pass
1029063,Michael Olise,Moyen,0.641,Haut,0.772,Moyen,0.538,10830,12.8,mesure FotMob,,Finesse Shot|Inventive|Technical|Whipped Pass
760712,Trent Alexander-Arnold,Bas,0.151,Bas,0.197,Bas,0.317,9678,6.3,mesure FotMob,oui,Dead Ball|Incisive Pass|Long Ball Pass|Relentless|Whipped Pass
614006,Rúben Dias,Moyen,0.605,Moyen,0.374,Bas,0.143,10759,8.2,mesure FotMob,,Bruiser|Long Ball Pass
325916,Paulo Dybala,Moyen,0.655,Haut,0.709,Bas,0.29,,,estime EA,,Dead Ball|Finesse Shot|First Touch|Gamechanger|Incisive Pass|Inventive|Technical
850354,Bruno Guimaraes,Haut,0.84,Bas,0.168,Haut,0.836,11415,5.2,mesure FotMob,oui,Gamechanger|Incisive Pass|Long Ball Pass|Press Proven|Relentless
1137670,Willian Pacho,Bas,0.122,Bas,0.252,Haut,0.694,9502,6.4,mesure FotMob,,Anticipate|Block|Bruiser|Jockey
820140,Ibrahima Konaté,Bas,0.108,Moyen,0.544,Moyen,0.566,9337,9.5,mesure FotMob,,Aerial Fortress|Bruiser
304733,Hakan Çalhanoglu,Haut,0.928,Bas,0.14,Haut,0.796,11777,4.9,mesure FotMob,oui,Dead Ball|First Touch|Incisive Pass|Inventive|Long Ball Pass|Relentless|Technical
30981,Lionel Messi,Moyen,0.545,Haut,0.666,Bas,0.204,,,estime EA,,Dead Ball|Finesse Shot|Gamechanger|Incisive Pass|Quick Step|Technical|Tiki Taka
867414,Sandro Tonali,Haut,0.864,Moyen,0.588,Haut,0.743,11507,9.9,mesure FotMob,oui,Enforcer|Relentless|Slide Tackle
1202110,Nico Williams,Haut,0.895,Haut,0.997,Haut,0.704,,,estime EA,oui,Finesse Shot|Gamechanger|Inventive|Quick Step|Rapid|Relentless
868344,Tijjani Reijnders,Haut,0.909,Moyen,0.597,Bas,0.067,11690,10.3,mesure FotMob,,Finesse Shot|Incisive Pass|Power Shot|Technical|Tiki Taka
184554,Marc-Andre ter Stegen,Bas,-0.091,Bas,0.014,,,,,estime EA,,Footwork|Long Ball Pass|Rush Out
764018,Gregor Kobel,Bas,0.079,Bas,0.025,Moyen,0.484,5606,0.0,mesure FotMob,,Deflector|Far Throw|Rush Out
957203,Éderson,Haut,0.892,Haut,0.798,Haut,0.93,11595,13.3,mesure FotMob,,Cross Claimer|Long Ball Pass|Pinged Pass
605224,Federico Dimarco,Moyen,0.521,Haut,0.946,Moyen,0.425,10576,16.2,mesure FotMob,,Dead Ball|Finesse Shot|First Touch|Low Driven Shot|Power Shot|Whipped Pass
843099,Scott McTominay,Haut,0.948,Bas,0.189,Moyen,0.424,11859,5.4,mesure FotMob,,Aerial Fortress|Enforcer|Incisive Pass|Low Driven Shot|Precision Header|Technical
956683,Ryan Gravenberch,Moyen,0.483,Moyen,0.41,Haut,0.692,10499,8.2,mesure FotMob,,Intercept|Press Proven
268375,Emiliano Martínez,Bas,0.0,Bas,0.153,Moyen,0.496,,,estime EA,,Footwork|Rush Out
1342757,João Neves,Haut,0.801,Bas,0.328,Haut,0.857,11276,7.3,mesure FotMob,oui,Aerial Fortress|Long Ball Pass|Press Proven|Relentless|Tiki Taka
184138,Antoine Griezmann,Haut,0.67,Moyen,0.427,Bas,0.178,10874,8.4,mesure FotMob,,Chip Shot|Finesse Shot|Gamechanger|Incisive Pass|Inventive|Long Ball Pass|Technical
923312,Bryan Mbeumo,Haut,0.818,Haut,0.836,Bas,0.076,,,estime EA,,First Touch|Gamechanger|Inventive|Quick Step|Rapid
319300,N'Golo Kanté,Haut,1,Haut,0.913,Haut,0.987,,,estime EA,oui,Intercept|Press Proven|Relentless
1339208,Désiré Doué,Haut,0.871,Haut,0.792,Haut,0.835,11524,13.6,mesure FotMob,,First Touch|Gamechanger|Inventive|Press Proven|Quick Step|Trickster
660625,Unai Simón,Bas,0.033,Bas,0.009,Haut,0.735,5132,0.0,mesure FotMob,,Footwork|Pinged Pass|Rush Out
621562,Marcus Thuram,Bas,0.268,Moyen,0.655,Bas,0.166,10050,11.6,mesure FotMob,,Aerial Fortress|Precision Header|Rapid
151001,Péter Gulácsi,Bas,-0.055,Bas,-0.001,Bas,0.29,,,estime EA,,Footwork
860914,Luis Díaz,Moyen,0.613,Haut,0.846,Moyen,0.362,10776,14.1,mesure FotMob,,Inventive|Low Driven Shot|Quick Step|Technical
1002058,Nico Schlotterbeck,Moyen,0.351,Moyen,0.386,Haut,0.881,10233,8.0,mesure FotMob,,Anticipate|Block|Jockey|Long Ball Pass|Long Throw|Slide Tackle
212867,Heung-Min Son,Haut,0.855,Haut,0.799,,,,,estime EA,,Finesse Shot|First Touch|Gamechanger|Low Driven Shot|Whipped Pass
815006,Phil Foden,Haut,0.993,Moyen,0.597,Bas,0.284,12293,10.9,mesure FotMob,,First Touch|Gamechanger|Inventive|Low Driven Shot|Technical
605654,Fabián Ruiz,Haut,0.734,Moyen,0.368,Moyen,0.473,11030,7.7,mesure FotMob,,Finesse Shot|First Touch|Long Ball Pass|Tiki Taka
465960,Youri Tielemans,Haut,0.855,Moyen,0.454,Haut,0.759,,,estime EA,,Incisive Pass|Pinged Pass|Power Shot|Press Proven
207236,Granit Xhaka,Haut,0.8,Bas,0.32,Haut,0.788,,,estime EA,,Aerial Fortress|Bruiser|Finesse Shot|Incisive Pass|Long Ball Pass|Power Shot
30893,Cristiano Ronaldo,Haut,0.673,Moyen,0.605,,,,,estime EA,,Acrobatic|Aerial Fortress|Gamechanger|Low Driven Shot|Power Shot|Precision Header|Trickster
895362,Rodrygo,Haut,0.745,Haut,0.796,Haut,0.795,,,estime EA,,Dead Ball|Finesse Shot|Gamechanger|Inventive|Technical
614834,Dani Olmo,Moyen,0.615,Moyen,0.467,Moyen,0.502,10777,9.0,mesure FotMob,,Finesse Shot|First Touch|Gamechanger|Incisive Pass|Technical|Tiki Taka
658554,Dayot Upamecano,Bas,0.323,Moyen,0.534,Haut,0.918,10154,9.8,mesure FotMob,,Bruiser|Jockey|Long Ball Pass|Pinged Pass
540097,Patrik Schick,Haut,0.832,Moyen,0.479,Bas,0.011,11396,8.9,mesure FotMob,,Acrobatic|Low Driven Shot|Precision Header
724371,Theo Hernández,Haut,0.855,Haut,0.83,,,,,estime EA,,Anticipate|Block|Bruiser|Dead Ball|Quick Step|Rapid
602563,Marcos Llorente,Haut,0.727,Haut,0.716,Haut,0.79,11023,11.7,mesure FotMob,oui,Power Shot|Quick Step|Rapid|Relentless|Whipped Pass
324578,Rodrigo De Paul,Haut,0.873,Haut,0.695,Moyen,0.462,,,estime EA,,Finesse Shot|Incisive Pass|Long Ball Pass|Technical
361757,João Cancelo,Moyen,0.39,Haut,0.708,Haut,0.884,10297,12.2,mesure FotMob,,Block|First Touch|Inventive|Technical|Whipped Pass
751202,Alphonso Davies,Haut,0.709,Haut,0.843,Haut,0.985,,,estime EA,,Quick Step|Rapid
303919,Jordan Pickford,Bas,0.0,Bas,0.173,Moyen,0.439,,,estime EA,,Far Throw|Footwork|Long Ball Pass
593118,Denzel Dumfries,Moyen,0.345,Haut,0.89,Bas,0.166,10219,15.0,mesure FotMob,,Long Throw|Precision Header|Quick Step|Rapid
1070712,Josko Gvardiol,Moyen,0.4,Moyen,0.481,Moyen,0.385,10313,9.4,mesure FotMob,,Block|Jockey|Low Driven Shot|Pinged Pass
914458,Aurélien Tchouaméni,Haut,0.708,Bas,0.241,Haut,0.893,10991,6.4,mesure FotMob,oui,Aerial Fortress|Anticipate|Bruiser|Intercept|Jockey|Precision Header|Relentless
873289,Marc Cucurella,Moyen,0.529,Haut,0.875,Moyen,0.412,10593,14.8,mesure FotMob,oui,Block|Jockey|Press Proven|Relentless
611223,Benjamin Pavard,Bas,0.179,Moyen,0.474,Moyen,0.363,9843,9.2,mesure FotMob,,Jockey
1137705,Enzo Fernández,Haut,0.777,Moyen,0.594,Moyen,0.418,11200,10.4,mesure FotMob,oui,First Touch|Long Ball Pass|Press Proven|Relentless
169718,Wojciech Szczesny,Bas,0.07,Bas,0.024,Moyen,0.56,5453,0.0,mesure FotMob,,Far Throw
942372,Álex Baena,Haut,0.885,Moyen,0.602,Bas,0.318,11586,10.6,mesure FotMob,,Dead Ball|First Touch|Incisive Pass|Inventive|Long Ball Pass|Technical|Tiki Taka
541555,Mattia Zaccagni,Haut,0.745,Haut,0.807,Haut,0.767,,,estime EA,,Dead Ball|Finesse Shot|Gamechanger|Incisive Pass|Intercept|Inventive|Technical
948800,Giorgi Mamardashvili,Bas,0.041,Bas,0.005,Bas,0.277,5187,0.0,mesure FotMob,,Cross Claimer|Far Throw|Footwork
693599,Exequiel Palacios,Haut,0.868,Bas,0.109,Haut,0.983,11520,4.6,mesure FotMob,,Anticipate
1173787,Xavi Simons,Moyen,0.644,Haut,0.716,Haut,0.768,10840,12.4,mesure FotMob,,Finesse Shot|First Touch|Incisive Pass|Inventive|Technical|Tiki Taka
27299,Manuel Neuer,Bas,0.067,Bas,0.003,Moyen,0.533,5441,0.0,mesure FotMob,,Far Throw|Long Ball Pass|Pinged Pass
534684,Rúben Neves,Haut,0.727,Moyen,0.474,,,,,estime EA,,Aerial Fortress|Dead Ball|Intercept|Inventive|Long Ball Pass|Whipped Pass
806552,Cody Gakpo,Moyen,0.364,Haut,0.917,Bas,0.156,10260,15.5,mesure FotMob,,Finesse Shot|First Touch|Precision Header|Press Proven|Whipped Pass
488139,Bernardo Silva,Haut,0.947,Bas,0.164,Moyen,0.429,11852,5.2,mesure FotMob,oui,Gamechanger|Low Driven Shot|Relentless|Technical|Tiki Taka|Whipped Pass
624166,Manuel Locatelli,Haut,0.816,Bas,0.131,Haut,0.951,11342,4.8,mesure FotMob,oui,Aerial Fortress|Anticipate|Block|Inventive|Jockey|Long Ball Pass|Relentless
688295,Christian Pulisic,Moyen,0.655,Haut,0.77,Bas,0.099,,,estime EA,,Dead Ball|Incisive Pass|Low Driven Shot|Quick Step
795630,Diogo Costa,Bas,-0.218,Bas,-0.158,Bas,0.302,,,estime EA,,Far Throw|Long Ball Pass|Rush Out
540088,Ollie Watkins,Haut,1,Haut,0.875,Bas,0.027,,,estime EA,oui,Chip Shot|Low Driven Shot|Precision Header|Relentless
493165,James Maddison,Haut,0.691,Moyen,0.581,,,,,estime EA,,Dead Ball|Finesse Shot|Gamechanger|Incisive Pass|Inventive|Whipped Pass
1013021,Marco Carnesecchi,Bas,0.015,Bas,0.007,Moyen,0.343,5018,0.0,mesure FotMob,,Rush Out
839204,Omar Marmoush,Moyen,0.655,Haut,0.74,Bas,0.192,,,estime EA,,Dead Ball|Finesse Shot|Technical
848844,Rafael Leao,Moyen,0.636,Haut,0.794,Bas,0.054,,,estime EA,,Gamechanger|Incisive Pass|Quick Step|Rapid|Trickster
844415,Éder Militao,Bas,0.095,Moyen,0.485,Moyen,0.658,9194,8.8,mesure FotMob,,Aerial Fortress|Block|Intercept|Precision Header
181276,Romelu Lukaku,Moyen,0.618,Moyen,0.563,,,,,estime EA,,Enforcer|Incisive Pass|Low Driven Shot|Power Shot|Press Proven
191315,Isco,Moyen,0.491,Moyen,0.471,,,,,estime EA,,Dead Ball|Finesse Shot|Gamechanger|Incisive Pass|Inventive|Technical
1297165,Bradley Barcola,Bas,0.177,Haut,0.927,Bas,0.214,9839,15.6,mesure FotMob,,Finesse Shot|Gamechanger|Rapid
690516,Ademola Lookman,Bas,0.137,Moyen,0.583,Bas,0.12,9601,10.4,mesure FotMob,,Dead Ball|First Touch|Gamechanger|Low Driven Shot|Quick Step
278343,Riyad Mahrez,Haut,0.709,Haut,0.701,,,,,estime EA,,Dead Ball|Finesse Shot|First Touch|Incisive Pass|Inventive|Low Driven Shot|Technical
440330,Alexander Sørloth,Moyen,0.485,Haut,0.778,Bas,0.07,10501,13.0,mesure FotMob,,Enforcer|Gamechanger|Low Driven Shot|Power Shot|Precision Header
73024,Francesco Acerbi,Moyen,0.589,Bas,0.163,Moyen,0.365,10728,5.2,mesure FotMob,,Aerial Fortress|Bruiser|Intercept|Long Ball Pass|Precision Header|Slide Tackle
188555,Stefan de Vrij,Bas,0.27,Bas,0.263,Moyen,0.371,10051,6.3,mesure FotMob,,Bruiser
278856,Willi Orban,Moyen,0.618,Bas,0.329,Moyen,0.6,,,estime EA,,Aerial Fortress|Block|Bruiser
352879,Adrien Rabiot,Haut,0.982,Haut,0.749,Haut,0.801,,,estime EA,,First Touch|Precision Header|Press Proven
1015185,Eduardo Camavinga,Moyen,0.541,Moyen,0.448,Haut,0.982,10616,9.3,mesure FotMob,,Block|Bruiser|Jockey|Technical
846005,Dominik Szoboszlai,Haut,0.758,Haut,0.826,Haut,0.761,11119,13.8,mesure FotMob,,Power Shot|Technical|Whipped Pass
73167,Henrikh Mkhitaryan,Haut,0.971,Moyen,0.487,Haut,0.883,12062,9.3,mesure FotMob,oui,Anticipate|Incisive Pass|Inventive|Jockey|Relentless|Technical
592909,Lucas Torreira,Moyen,0.651,Bas,0.106,Haut,0.76,10847,4.4,mesure FotMob,oui,Anticipate|Intercept|Jockey|Long Ball Pass|Relentless|Slide Tackle|Tiki Taka
414906,Giovanni Di Lorenzo,Haut,0.73,Haut,0.678,Bas,0.219,11028,11.5,mesure FotMob,oui,First Touch|Long Ball Pass|Relentless
950199,Morten Hjulmand,Haut,0.744,Bas,0.166,Haut,0.95,11072,5.1,mesure FotMob,oui,Anticipate|Block|Jockey|Relentless
574645,Mikel Merino,Haut,0.964,Bas,0.276,Haut,0.827,12037,6.5,mesure FotMob,oui,Aerial Fortress|Power Shot|Precision Header|Relentless
604105,Iñaki Williams,Haut,0.873,Haut,0.888,Bas,0.051,,,estime EA,,Finesse Shot|Low Driven Shot|Power Shot|Quick Step|Rapid
1167220,Joan García,Bas,0.077,Bas,0.066,Haut,0.667,5592,0.1,mesure FotMob,,Cross Claimer
616539,Alex Remiro,Bas,0.036,Bas,0.055,Moyen,0.478,,,estime EA,,Far Throw|Footwork|Long Ball Pass
727897,Dávid Hancko,Bas,0.247,Bas,0.253,Moyen,0.444,10013,6.4,mesure FotMob,,Anticipate|Jockey|Long Ball Pass|Precision Header
906937,Anthony Gordon,Bas,0.256,Haut,0.97,Bas,0.138,10027,18.1,mesure FotMob,,Finesse Shot|Quick Step|Rapid|Whipped Pass
1177131,Lucas Chevalier,Bas,0.026,Bas,0.04,Bas,0.127,5089,0.0,mesure FotMob,,Footwork|Rush Out
239219,Mateo Kovacic,Haut,0.673,Moyen,0.574,Moyen,0.457,,,estime EA,,Incisive Pass|Press Proven
642551,Aleix García,Haut,0.926,Bas,0.198,Moyen,0.345,11773,5.6,mesure FotMob,,Dead Ball|Inventive|Long Ball Pass|Press Proven|Tiki Taka
434325,Thomas Partey,Haut,0.789,Bas,0.088,Haut,0.702,11236,3.3,mesure FotMob,,Long Throw|Pinged Pass|Press Proven
308517,Stanislav Lobotka,Haut,0.974,Bas,0.163,Bas,0.298,12126,5.2,mesure FotMob,oui,Anticipate|First Touch|Inventive|Long Ball Pass|Relentless|Technical
966018,Jeremie Frimpong,Moyen,0.373,Haut,0.997,Bas,0.267,10268,19.7,mesure FotMob,,Quick Step|Rapid|Slide Tackle
31097,Luka Modric,Moyen,0.527,Moyen,0.536,Haut,0.798,,,estime EA,,Incisive Pass|Long Ball Pass|Technical|Whipped Pass
303339,Sadio Mané,Haut,0.727,Haut,0.708,,,,,estime EA,,Aerial Fortress|Gamechanger|Low Driven Shot|Rapid
178778,Oliver Baumann,Bas,-0.018,Bas,-0.038,Moyen,0.643,,,estime EA,,Deflector|Footwork
863098,Matheus Cunha,Haut,0.764,Haut,0.692,Moyen,0.637,,,estime EA,,Dead Ball|First Touch|Inventive|Power Shot|Trickster
181069,Matz Sels,Bas,-0.255,Bas,-0.132,Bas,0.19,,,estime EA,,Far Reach
1279040,Gavi,Haut,0.95,Haut,0.846,Haut,0.846,,,estime EA,oui,Press Proven|Relentless|Slide Tackle|Tiki Taka
818975,Eberechi Eze,Moyen,0.498,Bas,0.259,Bas,0.245,10530,6.6,mesure FotMob,,Dead Ball|Finesse Shot|First Touch|Gamechanger|Inventive|Power Shot|Technical
178818,Ilkay Gündogan,Bas,0.285,Bas,0.131,Moyen,0.438,10082,5.0,mesure FotMob,,First Touch|Press Proven|Tiki Taka
747767,Loïs Openda,Moyen,0.522,Haut,0.868,Bas,0.036,10577,15.4,mesure FotMob,,Acrobatic|Finesse Shot|Low Driven Shot|Quick Step|Rapid
516846,Julian Brandt,Haut,0.761,Moyen,0.577,Bas,0.132,11150,10.4,mesure FotMob,,Dead Ball|First Touch|Incisive Pass|Inventive|Technical|Tiki Taka
523825,Jarrod Bowen,Haut,0.782,Haut,0.699,Moyen,0.49,,,estime EA,,Gamechanger|Low Driven Shot|Precision Header|Technical
1458711,Murillo,Moyen,0.545,Moyen,0.655,Moyen,0.472,,,estime EA,,Block|Bruiser|Intercept|Long Ball Pass
816325,Boubacar Kamara,Haut,0.745,Moyen,0.522,Haut,0.91,,,estime EA,,Block
417068,Nathan Aké,Moyen,0.387,Bas,0.322,Bas,0.187,10291,6.7,mesure FotMob,,
881771,Ferran Torres,Bas,0.208,Haut,0.962,Bas,0.008,9925,16.3,mesure FotMob,,Finesse Shot|Technical
1071186,Angelo Stiller,Haut,0.727,Moyen,0.576,Haut,0.834,,,estime EA,,Incisive Pass|Long Ball Pass|Press Proven|Tiki Taka
1137667,Piero Hincapié,Moyen,0.38,Moyen,0.634,Moyen,0.641,10281,10.6,mesure FotMob,,Block|Jockey|Slide Tackle
655696,Artem Dovbyk,Haut,0.673,Haut,0.676,Bas,0.02,,,estime EA,,
1197030,Hugo Ekitiké,Haut,0.663,Haut,0.814,Bas,0.073,10865,13.4,mesure FotMob,,Chip Shot|Finesse Shot|Technical
174472,Iago Aspas,Bas,0.309,Moyen,0.51,Bas,0.198,,,estime EA,,Chip Shot|Dead Ball|Finesse Shot|Incisive Pass|Low Driven Shot
747926,Moise Kean,Haut,0.764,Haut,0.753,Bas,0.018,,,estime EA,,Chip Shot|Gamechanger|Rapid
921253,Ronald Araujo,Bas,0.12,Moyen,0.546,Moyen,0.592,9498,10.2,mesure FotMob,,Aerial Fortress|Anticipate|Block|Jockey|Precision Header|Slide Tackle
318615,Leandro Trossard,Moyen,0.546,Moyen,0.499,Moyen,0.437,10625,9.1,mesure FotMob,,Whipped Pass
588687,Gianluca Mancini,Haut,0.8,Moyen,0.574,Moyen,0.539,,,estime EA,,Anticipate|Bruiser|Intercept|Precision Header
544693,Amir Rrahmani,Moyen,0.479,Bas,0.219,Moyen,0.616,10492,6.3,mesure FotMob,,Aerial Fortress|Block|Long Ball Pass|Slide Tackle
766611,Nikola Milenkovic,Haut,0.673,Moyen,0.493,Bas,0.151,,,estime EA,,Aerial Fortress|Anticipate|Long Ball Pass
