fotmob_id,nom,club,poste,age,pays,numero,ovr_carte,minutes_saison,_note
72541,César Azpilicueta,Sevilla,Defenseur central,36,ESP,3,67,1218,
119839,Danijel Aleksic,Konyaspor,Ailier,34,SRB,9,67,128,"nom seul, non confirme"
1525445,Miro,Tondela,Buteur,22,ANG,9,67,210,plusieurs candidats
841672,Nicolás González,Atletico Madrid,Ailier,28,ARG,23,67,1548,"nom seul, non confirme"
318809,Sam Larsson,Fatih Karagümrük,Buteur,33,SWE,23,67,1489,"nom seul, non confirme"
212695,Tomané,AVS Futebol SAD,Buteur,33,POR,7,67,1991,
1037491,Arseniy Batahov,Trabzonspor,Defenseur central,24,UKR,44,66,2025,
528050,Bilal Ould-Chikh,FC Volendam,Ailier,28,NED,77,66,857,"nom seul, non confirme"
1051047,Franco Tongya,Gençlerbirliği,Ailier,24,ITA,70,66,2250,
1355574,Giovane Nascimento,Hellas Verona,Buteur,,,,66,1763,"nom seul, non confirme"
282680,Julián,Antalyaspor,Gardien,,,,66,1800,plusieurs candidats
1320170,Kaiky Naves,Alverca,Defenseur central,,,,66,2745,
1235086,Kristoffer Lund Hansen,1. FC Köln,Lateral,24,USA,32,66,2213,plusieurs candidats
863848,Ricardo Velho,Gençlerbirliği,Gardien,27,POR,24,66,2070,
1195295,Tamble Monteiro,Rio Ave,Buteur,,,,66,566,"nom seul, non confirme"
1249993,Abbosbek Fayzullayev,Başakşehir,Ailier,22,UZB,11,65,995,
819972,Cherif Ndiaye,Samsunspor,Buteur,30,SEN,19,65,1533,"nom seul, non confirme"
1106898,Gabriel Veron,Nacional,Ailier,23,BRA,27,65,760,plusieurs candidats
1736561,Gustavo Mancha,Rio Ave,Defenseur central,21,BRA,39,65,1260,
359193,Lucas Vázquez,Bayer Leverkusen,Lateral,34,ESP,21,65,840,"nom seul, non confirme"
1240708,Moussa Kyabou,Gençlerbirliği,Milieu offensif,27,MLI,81,65,57,
1793475,Noah Saviolo,Vitoria de Guimaraes,Ailier,22,BEL,48,65,1772,
1173546,Roni,AVS Futebol SAD,Milieu defensif,27,BRA,70,65,1396,
80562,Thiago Silva,FC Porto,Defenseur central,41,BRA,3,65,1029,plusieurs candidats
1383534,Weslley Pinto,AZ Alkmaar,Ailier,22,BRA,7,65,1809,plusieurs candidats
274787,Yvon Mvogo,Lorient,Gardien,31,SUI,38,65,2790,
1118199,Zaid Abner Romero,Getafe,Defenseur central,26,ARG,24,65,1350,"nom seul, non confirme"
1242261,Adrian Leon Barisic,Braga,Defenseur central,24,BIH,37,64,722,"nom seul, non confirme"
1425769,Alejandro Rego,Athletic Club,Milieu defensif,22,ESP,30,64,1603,"nom seul, non confirme"
1971712,Eren Yagmur,Konyaspor,Buteur,,,,64,66,
939625,Filip Krastev,Göztepe,Milieu offensif,24,BUL,10,64,329,
1690655,Jocelin Ta Bi,Sunderland,Ailier,21,CIV,37,64,39,
51545,José Salomon Rondon,Real Oviedo,Buteur,36,VEN,23,64,986,"nom seul, non confirme"
1354086,Keiber Lamadrid,West Ham United,Ailier,22,VEN,21,64,72,
1299645,Klismahn,Santa Clara,Milieu relayeur,26,BRA,77,64,1095,
1191093,Lorenzo Bernasconi,Atalanta,Lateral,22,ITA,47,64,2504,
1284376,Marezi,Alverca,Buteur,22,SRB,9,64,1166,
1586939,Shavy Babicka,Fatih Karagümrük,Ailier,25,GAB,80,64,710,
1451116,Soufiane Hetli,Telstar,Buteur,24,NED,7,64,1271,
1315546,Tomoya Ando,St. Pauli,Defenseur central,27,JPN,15,64,1325,
1340413,Tristan Gooijer,PEC Zwolle,Lateral,21,NED,6,64,1238,
1290453,Tyrone Owusu,Telstar,Milieu defensif,27,NED,8,64,1476,"nom seul, non confirme"
1975804,Yaya Dieme,Strasbourg,Buteur,,,,64,147,
1678727,Ayoni Santos,Sparta Rotterdam,Milieu offensif,20,CPV,7,63,1398,plusieurs candidats
961305,Benjamin Mbunga Kimpioka,Tondela,Buteur,,,,63,450,
1693611,Diogo Bezerra,Rio Ave,Ailier,23,BRA,7,63,1202,
967759,Drissa Camara,Gaziantep FK,Milieu relayeur,,,,63,1641,plusieurs candidats
451209,Eliazer Dasa,NEC Nijmegen,Defenseur central,33,ISR,14,63,1799,
1431291,Gorka Carrera,Real Sociedad,Buteur,21,ESP,42,63,64,"nom seul, non confirme"
575229,Héctor Hernández,Gil Vicente,Buteur,30,ESP,23,63,265,"nom seul, non confirme"
1436575,Matheus Pivô,AVS Futebol SAD,Lateral,28,BRA,97,63,1149,
1439121,Tyrese Noslin,Telstar,Lateral,23,CUW,11,63,1983,"nom seul, non confirme"
505942,Aaron Appindangoye,Kocaelispor,Defenseur central,33,GAB,5,62,225,
1695966,Alassane Diatta,Villarreal,Ailier,21,SEN,38,62,65,"nom seul, non confirme"
643231,Andre Green,AVS Futebol SAD,Ailier,27,ENG,25,62,181,"nom seul, non confirme"
1700562,Angel Arcos,Celta Vigo,Ailier,,,,62,57,
812637,Cícero,Tondela,Milieu defensif,29,BRA,97,62,1088,
1226783,Hugo González,Celta Vigo,Buteur,23,ESP,30,62,65,"nom seul, non confirme"
645107,Ianis Hagi,Alanyaspor,Ailier,27,ROU,14,62,1185,
298327,Igor Lichnovsky,Fatih Karagümrük,Defenseur central,32,CHI,3,62,1170,
1816688,Javi Sarasa,Girona,Milieu offensif,,,,62,65,
1683704,Khaly,Casa Pia AC,Defenseur central,22,ANG,3,62,939,
1130711,Lucas Figueiredo,Alverca,Ailier,,,,62,1808,plusieurs candidats
46241,M'Baye Niang,Gençlerbirliği,Buteur,31,SEN,29,62,1590,"nom seul, non confirme"
520594,Ogulcan Caglayan,Kocaelispor,Ailier,29,TUR,17,62,45,
882631,Paulinho Bóia,Nacional,Ailier,27,BRA,11,62,2735,
1309799,Roberto Arroyo,Osasuna,Buteur,,,,62,68,plusieurs candidats
959404,Silas Katompa Mvumpa,Mainz 05,Buteur,,,,62,296,"nom seul, non confirme"
943386,Wendel,Santa Clara,Buteur,25,BRA,29,62,747,
1211804,Adedire Awokoya Mebude,Rizespor,Ailier,,,,61,641,"nom seul, non confirme"
1477850,Alejandro Mestanza,Getafe,Ailier,,,,61,57,
880237,Denis Makarov,Kayserispor,Ailier,28,RUS,18,61,450,
1276315,Dermane Karim,Lorient,Ailier,22,TOG,29,61,1263,"nom seul, non confirme"
1836137,Doumbia Koné,Nantes,Buteur,,,,61,57,plusieurs candidats
708435,Gaëtan Perrin,Lille,Ailier,29,FRA,28,61,405,"nom seul, non confirme"
1690093,Jan Virgili,Mallorca,Ailier,19,ESP,17,61,1518,
514847,Jérome Onguéné,Eyüpspor,Defenseur central,28,CMR,68,61,747,
1875615,Kareem Tunde,Levante,Ailier,20,ESP,26,61,1103,
175311,Kiko,Getafe,Lateral,35,ESP,17,61,1916,
263928,Luccas Claro,Eyüpspor,Defenseur central,34,BRA,4,61,1292,
756255,Léo Santos,Nacional,Defenseur central,27,BRA,34,61,2584,plusieurs candidats
1706503,Neville Ogidi Nwankwo,Telstar,Defenseur central,23,NED,14,61,2132,"nom seul, non confirme"
459658,Ruslan Malinovsky,Genoa,Milieu relayeur,33,UKR,17,61,2105,
1370090,Sem van Duijn,Telstar,Ailier,22,NED,37,61,941,
722605,Tito,Getafe,Defenseur central,,,,61,45,
1072864,Tolu Arokodare,Wolverhampton Wanderers,Buteur,25,NGA,14,61,1314,"nom seul, non confirme"
466482,Allan Saint-Maximin,Lens,Ailier,29,FRA,9,60,293,"nom seul, non confirme"
95955,André Ayew,NAC Breda,Buteur,36,GHA,24,60,657,"nom seul, non confirme"
1217911,Damián Cáceres,Getafe,Milieu defensif,,,,60,143,plusieurs candidats
1305565,Dawda Camara,Girona,Buteur,23,MTN,17,60,45,plusieurs candidats
388514,Gonçalo Paciência,Santa Clara,Buteur,31,POR,39,60,380,
917209,Guilherme Romão,Santa Clara,Lateral,,,,60,832,"nom seul, non confirme"
1446616,Harry Howell,Brighton & Hove Albion,Ailier,17,ENG,53,60,223,
279879,Jean-Daniel Akpa Akpro,Hellas Verona,Milieu relayeur,33,CIV,11,60,1304,plusieurs candidats
1526704,Jesse Derry,Chelsea,Ailier,18,ENG,55,60,44,"nom seul, non confirme"
1160747,Joelson Fernandes,Gil Vicente,Ailier,23,POR,11,60,698,plusieurs candidats
239626,Kamil Cörekci,Kasımpaşa,Lateral,34,TUR,22,60,767,
1845173,Luca Reggiani,Borussia Dortmund,Defenseur central,18,ITA,49,60,557,
1613999,Maranhão,Moreirense,Buteur,,,,60,430,
1242634,Marvin Gilbert,Gil Vicente,Defenseur central,,,,60,2342,"nom seul, non confirme"
813055,Mousa Tamari,Rennes,Ailier,28,JOR,11,60,2245,"nom seul, non confirme"
1562023,Nick Verschuren,FC Volendam,Defenseur central,,,,60,2675,
1474503,Trevan Sanusi,Lorient,Buteur,18,ENG,14,60,61,"nom seul, non confirme"
1639361,Yassin Tallal,Getafe,Lateral,,,,60,152,
1366618,Zoumana Diallo,Nice,Buteur,,,,60,172,"nom seul, non confirme"
895954,Álvaro Fidalgo,Real Betis,Milieu relayeur,29,MEX,15,60,666,
1304343,Allan Godói,Göztepe,Defenseur central,33,BRA,3,59,1779,
1697247,Amadou Cissé,Strasbourg,Lateral,,,,59,90,plusieurs candidats
1636592,Andre Harriman-Annous,Arsenal,Buteur,,,,59,77,
1965642,Ata Yanik,Konyaspor,Defenseur central,,,,59,90,
816001,Carvalho,Braga,Defenseur central,,,,59,1378,plusieurs candidats
1640991,Daan Bisschops,Fortuna Sittard,Defenseur central,,,,59,89,
149150,Denis Odoi,NAC Breda,Defenseur central,37,GHA,3,59,1440,"nom seul, non confirme"
1830648,Dimitri Lucea,Paris Saint-Germain,Lateral,,,,59,45,
800520,Fodé Ballo,Metz,Lateral,29,SEN,97,59,872,"nom seul, non confirme"
1793482,Francisco Dias,Vitoria de Guimaraes,Lateral,,,,59,180,plusieurs candidats
1597253,Ikker Julian,Alverca,Defenseur central,,,,59,90,plusieurs candidats
1722708,Joao Gastao,Estrela da Amadora,Buteur,,,,59,174,
1705592,Jon Garcia,Osasuna,Milieu relayeur,,,,59,45,"nom seul, non confirme"
613714,Jordan Pefok,Tondela,Buteur,30,USA,29,59,1106,
389845,Joshua Brenet,Kayserispor,Lateral,32,CUW,30,59,754,
1477865,Juan Diego Castillo,Vitoria de Guimaraes,Gardien,,,,59,1350,plusieurs candidats
1717397,Karamba Gassama,Gaziantep FK,Ailier,21,GAM,17,59,392,plusieurs candidats
1869761,Kenny Quetant,Le Havre,Buteur,,,,59,381,
1240979,Loide Augusto,Rizespor,Ailier,26,ANG,50,59,1010,"nom seul, non confirme"
1981027,Luis Orejuela,Mallorca,Lateral,,,,59,90,"nom seul, non confirme"
1031759,Léo Realpe,Famalicao,Defenseur central,25,ECU,3,59,1586,
1260007,Michel,Moreirense,Defenseur central,,,,59,256,"nom seul, non confirme"
1401205,Michel Diaz,Brest,Defenseur central,22,CIV,4,59,1606,"nom seul, non confirme"
1225435,Nikolaos Athanasiou,Rio Ave,Lateral,24,GRE,3,59,1265,
1366049,Noé Lebreton,NEC Nijmegen,Ailier,22,FRA,20,59,1273,
1230671,Pedro Bondo,Famalicao,Lateral,21,ANG,28,59,1082,"nom seul, non confirme"
1718174,Uchenna Ogundu,Alanyaspor,Buteur,20,NGA,39,59,874,
1574200,Wassim Bouziane,AZ Alkmaar,Ailier,19,NED,43,59,66,"nom seul, non confirme"
1622637,Yarlen,Tondela,Ailier,19,BRA,67,59,276,
1640985,Yassir Zabiri,Famalicao,Buteur,21,MAR,77,59,575,
639450,Yeray Álvarez,Athletic Club,Defenseur central,31,ESP,5,59,469,plusieurs candidats
1095445,Arnaud Kalimuendo-Muinga,Eintracht Frankfurt,Buteur,24,FRA,25,58,1596,"nom seul, non confirme"
394360,Casper Højer Nielsen,Rizespor,Lateral,,,,58,2625,"nom seul, non confirme"
1207581,David Datro Fofana,Fatih Karagümrük,Buteur,23,CIV,15,58,1046,plusieurs candidats
643654,Fousseni Diabaté,Kasımpaşa,Milieu offensif,30,MLI,34,58,1795,"nom seul, non confirme"
449277,Giorgi Kvilitaia,Metz,Buteur,32,GEO,11,58,371,
1733357,Guilherme Luiz,Göztepe,Buteur,,,,58,117,"nom seul, non confirme"
1609327,Ibrahima Ba,Famalicao,Defenseur central,20,SEN,55,58,1620,
1431511,Issiaka Kamate,Inter,Lateral,,,,58,80,
1366937,Jovan Milosevic,Werder Bremen,Buteur,20,SRB,19,58,329,
1188578,João Silva,Tondela,Defenseur central,27,POR,44,58,968,plusieurs candidats
1566981,Martin Pedroarena,Osasuna,Milieu relayeur,,,,58,128,
1359911,Miguel Román,Celta Vigo,Milieu relayeur,23,ESP,16,58,1747,"nom seul, non confirme"
1203521,Paulo Moreira,Estrela da Amadora,Milieu defensif,26,POR,19,58,2234,plusieurs candidats
1097796,Samuel Ballet,Antalyaspor,Ailier,25,SUI,11,58,1465,
317267,Serdar Dursun,Kocaelispor,Buteur,34,TUR,19,58,1330,"nom seul, non confirme"
1712399,Victor Valdepenas,Real Madrid,Lateral,,,,58,78,
1797902,Adem Arous,Kasımpaşa,Defenseur central,21,TUN,4,57,1661,
1469852,Agustín Moreira,Gil Vicente,Ailier,24,URU,27,57,695,"nom seul, non confirme"
1420843,Andrey,Santa Clara,Milieu relayeur,24,BRA,78,57,64,"nom seul, non confirme"
1301081,Arda Kurtulan,Göztepe,Lateral,,,,57,2217,
1833157,Bachir Gueye,Antalyaspor,Buteur,23,SEN,24,57,45,"nom seul, non confirme"
1798782,Bara Ndiaye,Bayern München,Milieu relayeur,,,,57,122,plusieurs candidats
278341,Bouna Sarr,Metz,Lateral,34,SEN,70,57,840,plusieurs candidats
1404134,Carlos Eduardo,Gil Vicente,Buteur,23,BRA,29,57,167,plusieurs candidats
1560045,Egoitz Munoz,Deportivo Alaves,Lateral,,,,57,90,plusieurs candidats
935380,Enrico Del Prato,Parma,Defenseur central,26,ITA,15,57,3158,
1435030,Francisco Petrasso,Rio Ave,Defenseur central,,,,57,1420,"nom seul, non confirme"
1559636,George King,Crystal Palace,Defenseur central,18,ENG,60,57,76,plusieurs candidats
1800495,Georges Gomis,Le Havre,Defenseur central,,,,57,45,plusieurs candidats
1759734,Henrique Silva,Santa Clara,Defenseur central,,,,57,1017,plusieurs candidats
1966243,Idrissa Sabaly,Strasbourg,Milieu relayeur,,,,57,57,"nom seul, non confirme"
173899,Jakub Brabec,Rio Ave,Defenseur central,33,CZE,32,57,2070,
1732412,Javi Morcillo,Atletico Madrid,Milieu relayeur,,,,57,63,"nom seul, non confirme"
959696,Joseph Scally,Borussia Mönchengladbach,Lateral,23,USA,29,57,2740,"nom seul, non confirme"
1700817,Joél Drakes-Thomas,Crystal Palace,Ailier,,,,57,135,"nom seul, non confirme"
1050814,Kelian Wa Saka,Casa Pia AC,Ailier,24,FRA,7,57,335,"nom seul, non confirme"
1341127,Korede Osundina,Casa Pia AC,Ailier,22,USA,13,57,407,
1798241,Luisinho,Braga,Milieu relayeur,,,,57,170,
1804213,Lushendry Martes,Sparta Rotterdam,Lateral,18,NED,12,57,895,
1677468,Marius Tresor Doh,Fatih Karagümrük,Milieu relayeur,,,,57,914,"nom seul, non confirme"
1648656,Martin Krug,Levante,Defenseur central,,,,57,90,
1739906,Mathys de Carvalho,Lyon,Milieu relayeur,21,FRA,39,57,789,plusieurs candidats
1882218,Nico Salvador,Elche,Lateral,,,,57,64,"nom seul, non confirme"
1649293,Paco Cortes,Levante,Ailier,18,ESP,27,57,475,"nom seul, non confirme"
1553404,Rayane Belaid,Atletico Madrid,Ailier,,,,57,134,
433819,Renzo Saravia,Valencia,Lateral,32,ARG,20,57,274,"nom seul, non confirme"
1313184,Rhys Bozinovski,Heracles,Milieu relayeur,,,,57,369,
1793704,Rémi Himbert,Lyon,Buteur,,,,57,172,
1463449,Tony Strata,Vitoria de Guimaraes,Lateral,21,ROU,66,57,1229,
1056461,Ville Koski,Deportivo Alaves,Defenseur central,24,FIN,16,57,270,
662076,Youssef Bennasser,Kayserispor,Milieu defensif,29,MAR,15,57,1415,
1732791,Andrés Antañón,Celta Vigo,Ailier,,,,56,45,
1015200,Arjen van der Heide,Tondela,Ailier,24,NED,26,56,117,
1347411,Bedirhan Özyurt,Eyüpspor,Defenseur central,23,TUR,5,56,898,
1621143,Benjamin Arthur,Brentford,Defenseur central,20,ENG,43,56,161,plusieurs candidats
1842657,Brad-Hamilton Mantsounga,Nice,Defenseur central,,,,56,405,plusieurs candidats
1729841,Brian Madjo,Metz,Buteur,,,,56,139,
987142,Christopher Wooh,Rennes,Defenseur central,23,CMR,4,56,11,
1763613,Daniel Banjaqui,Benfica,Lateral,,,,56,153,
1485180,Daniel Mikolajewski,Parma,Buteur,,,,56,45,
1830689,David Boly,Paris Saint-Germain,Lateral,,,,56,29,"nom seul, non confirme"
1393510,Gustavo Silva,Vitoria de Guimaraes,Ailier,26,BRA,11,56,1247,"nom seul, non confirme"
1800401,Kacper Potulski,Mainz 05,Defenseur central,18,POL,48,56,1220,
1609512,Kasper Boogaard,AZ Alkmaar,Milieu relayeur,20,NED,20,56,812,
1508427,Manuel Ángel,Real Madrid,Ailier,,,,56,59,plusieurs candidats
1902196,Paul Mendy,Cagliari,Buteur,19,SEN,31,56,217,"nom seul, non confirme"
1185467,Rhaldney,Göztepe,Milieu defensif,27,BRA,26,56,1849,
1692895,Ryan Rodin,Auxerre,Buteur,20,FRA,31,56,63,"nom seul, non confirme"
489013,Rúben Semedo,AVS Futebol SAD,Defenseur central,31,POR,35,56,782,"nom seul, non confirme"
1636513,Souza,Tottenham Hotspur,Ailier,,,,56,99,plusieurs candidats
1922172,Steeve Kango,Lyon,Lateral,,,,56,220,
1729826,Stephan Zagadou,Le Havre,Defenseur central,17,FRA,29,56,467,"nom seul, non confirme"
1695867,Álvaro Cortés,Barcelona,Defenseur central,,,,56,90,plusieurs candidats
1107963,Ahmet Sivri,Fatih Karagümrük,Ailier,26,TUR,17,55,214,
1563022,Angel Perez,Deportivo Alaves,Lateral,23,ESP,7,55,1293,"nom seul, non confirme"
1839135,Believe Munongo,Metz,Milieu defensif,16,FRA,33,55,312,
1676086,Davinchi,Getafe,Lateral,18,ESP,26,55,513,
1897206,Eddy Doué,Estrela da Amadora,Milieu relayeur,20,CIV,39,55,626,"nom seul, non confirme"
1088156,Lucão,Gil Vicente,Gardien,25,BRA,30,55,720,
1697334,Luken Beitia,Real Sociedad,Defenseur central,21,ESP,38,55,135,
1282445,Maga,Vitoria de Guimaraes,Lateral,23,POR,2,55,1473,
307235,Marko Pjaca,FC Twente,Ailier,31,CRO,7,55,449,
1699317,Mauro Echegoyen,Osasuna,Milieu relayeur,,,,55,66,
1536269,Pablo Ruan,Nacional,Ailier,23,BRA,99,55,518,plusieurs candidats
1709029,Ruud Nijstad,FC Twente,Defenseur central,,,,55,1510,
1376137,Stefan Lekovic,Estrela da Amadora,Defenseur central,22,SRB,4,55,784,
1709721,Thiago Balieiro,Vitoria de Guimaraes,Defenseur central,,,,55,1170,
1736465,Utku Eris,Konyaspor,Defenseur central,,,,55,147,
1524672,Vasco Moreira,Alverca,Milieu relayeur,,,,55,252,plusieurs candidats
466589,Yohan Boli,Antalyaspor,Buteur,32,CIV,77,55,719,"nom seul, non confirme"
1888413,Youssoupha Niang,1. FC Köln,Ailier,20,GER,38,55,120,"nom seul, non confirme"
1403694,Ángel Alarcon,FC Utrecht,Ailier,22,ESP,77,55,1033,plusieurs candidats
1883407,Ahmed Traore,Fatih Karagümrük,Ailier,19,CIV,88,54,229,"nom seul, non confirme"
1553663,Aitor Manas,Deportivo Alaves,Buteur,,,,54,222,
924300,Alemão,Rayo Vallecano,Buteur,28,BRA,9,54,1281,
1680383,Antonio Salguero,Girona,Defenseur central,,,,54,120,"nom seul, non confirme"
1697516,Arda Yavuz,Eyüpspor,Lateral,,,,54,65,"nom seul, non confirme"
1680173,Ayoube Amaimouni-Echghouyab,Eintracht Frankfurt,Ailier,21,MAR,29,54,406,"nom seul, non confirme"
1721085,Baris Kalayci,Fatih Karagümrük,Ailier,20,TUR,72,54,1139,
1525452,Brenner,Santa Clara,Ailier,24,BRA,11,54,874,
1531100,Dani Martinez,Atletico Madrid,Defenseur central,,,,54,90,plusieurs candidats
1690903,Dean Benamar,Crystal Palace,Lateral,,,,54,63,
1558302,Deniz Dönmezer,Kayserispor,Gardien,17,TUR,27,54,180,
612747,Frédéric Guilbert,Nantes,Lateral,31,FRA,24,54,595,
1300869,Ibrahim Kaya,Alanyaspor,Ailier,25,TUR,27,54,785,"nom seul, non confirme"
1460490,Jeh,Göztepe,Buteur,26,BRA,19,54,270,
1667713,Jerolldino Bergraaf,Excelsior,Buteur,19,NED,33,54,721,
1603224,João Afonso,Santa Clara,Gardien,,,,54,180,"nom seul, non confirme"
1439550,Kieran Morrison,Liverpool,Ailier,19,NIR,68,54,67,plusieurs candidats
1525010,Kiko,Moreirense,Lateral,24,POR,27,54,1688,
1431818,Lilian Rao-Lisoa,Angers,Lateral,25,FRA,27,54,1864,
1635773,Max Dowman,Arsenal,Ailier,,,,54,300,
1403397,Moudjatovic,Tondela,Ailier,23,CIV,70,54,454,
1609509,Rio Robbemond,AZ Alkmaar,Milieu defensif,21,NED,56,54,70,
1395975,Rodri,Moreirense,Milieu defensif,,,,54,1324,"nom seul, non confirme"
1680328,Ryan McAidoo,Manchester City,Ailier,17,ENG,56,54,90,
1292845,Sam Mather,Kayserispor,Ailier,21,ENG,11,54,45,
1761151,Samuele Inácio,Borussia Dortmund,Ailier,,,,54,323,plusieurs candidats
1712223,Branimir Mlacic,Udinese,Defenseur central,19,CRO,22,53,99,
1573172,Cenny Neumann,1. FC Köln,Lateral,,,,53,70,"nom seul, non confirme"
1463282,Divine Mukasa,Manchester City,Buteur,18,ENG,29,53,363,
1039551,Gustavo Assuncao,AVS Futebol SAD,Milieu relayeur,25,BRA,6,53,612,
1374503,Hugo Félix,Tondela,Milieu offensif,22,POR,79,53,994,plusieurs candidats
1807857,Hugo Lopez,Villarreal,Buteur,,,,53,112,"nom seul, non confirme"
1367926,Javier Boñar,Atletico Madrid,Lateral,,,,53,269,
1817861,Javier Olaizola,Mallorca,Defenseur central,,,,53,90,
1724551,Job Ochieng,Real Sociedad,Ailier,23,KEN,47,53,68,
1797925,Landerson,Moreirense,Ailier,,,,53,932,
1362632,Leandro Antonetti,Estrela da Amadora,Buteur,23,PUR,7,53,196,
1333449,Mahamadou Susoho,Kocaelispor,Milieu relayeur,21,ESP,20,53,389,
1437856,Mateja Stjepanovic,Moreirense,Milieu defensif,22,SRB,8,53,2259,
1797446,Nathan Mbala,Metz,Ailier,18,COD,34,53,259,"nom seul, non confirme"
1431809,Paulo Vitor,AVS Futebol SAD,Defenseur central,24,BRA,3,53,1461,plusieurs candidats
1525416,Rafael Nel,Sporting CP,Buteur,21,POR,90,53,147,
1741323,Renato Nhaga,Casa Pia AC,Milieu relayeur,19,GNB,74,53,1092,
1794209,Riccardo Braschi,Fiorentina,Buteur,,,,53,61,
1204394,Tamás Nikitscher,Rio Ave,Milieu defensif,26,HUN,44,53,1229,
1858596,Tommaso Macchioni,Sassuolo,Defenseur central,,,,53,90,
1072255,Welinton,Santa Clara,Ailier,26,BRA,49,53,455,
1883406,Ali Diabaté,Samsunspor,Defenseur central,,,,52,207,"nom seul, non confirme"
1089750,Antef Tsoungui,Estoril,Defenseur central,23,ENG,5,52,1202,
1052464,Bruno Lourenco,AVS Futebol SAD,Milieu offensif,27,POR,17,52,82,"nom seul, non confirme"
566408,Carlos Ponck,AVS Futebol SAD,Defenseur central,,,,52,765,
1413780,David Jimenez,Real Madrid,Lateral,,,,52,243,plusieurs candidats
1815901,Devrim Sahin,Beşiktaş,Ailier,19,TUR,52,52,117,plusieurs candidats
1701117,Diogo Sousa,Vitoria de Guimaraes,Milieu relayeur,20,POR,23,52,871,"nom seul, non confirme"
639201,Görkem Saglam,Kayserispor,Milieu defensif,28,GER,61,52,145,
1766153,Ismail Buga,Konyaspor,Milieu offensif,,,,52,89,
1661691,Juanse,Tondela,Milieu relayeur,20,ECU,32,52,1804,
776580,Luquinhas,Santa Clara,Ailier,29,BRA,28,52,112,
1438316,Mathieu Acapandié,Nantes,Lateral,,,,52,169,
1575945,Oso,Sevilla,Lateral,,,,52,1449,
1904467,Ousmane Diabate,Gençlerbirliği,Milieu relayeur,,,,52,180,"nom seul, non confirme"
34029,Raul Albiol,Pisa,Defenseur central,40,ESP,39,52,435,
980264,Rodrigo Conceição,Tondela,Lateral,,,,52,1347,plusieurs candidats
1444010,Ryan Santos,Estrela da Amadora,Lateral,,,,52,60,plusieurs candidats
1384983,Samet Karakoc,Antalyaspor,Ailier,23,AZE,2,52,355,
1793870,Alejandro Panach,Valencia,Defenseur central,,,,51,88,
1068297,Atanas Chernev,Estrela da Amadora,Defenseur central,23,BUL,79,51,900,
1690129,Boran Baskan,Trabzonspor,Lateral,20,TUR,80,51,90,
1821709,Carlos Ballestero,Deportivo Alaves,Lateral,,,,51,61,
1668290,Charles-André Raux Yao,Eyüpspor,Milieu offensif,24,FRA,15,51,358,"nom seul, non confirme"
1446701,Cédric Nuozzi,Alverca,Ailier,20,BEL,11,51,566,
1230286,Daouda Guindo,Brest,Lateral,23,MLI,27,51,1577,"nom seul, non confirme"
1335315,Deveron Fonville,NEC Nijmegen,Defenseur central,23,CUW,24,51,1160,
1269943,Enver Kulasin,Gaziantep FK,Ailier,22,BIH,27,51,56,
1185629,Fabio Moreno Fell,Mainz 05,Buteur,25,GER,36,51,77,plusieurs candidats
1829390,Fynn Schenten,1. FC Köln,Ailier,,,,51,62,
654091,Grady Diangana,Elche,Milieu relayeur,28,COD,19,51,811,
